stim,url,study_list
flower_picture,https://keelepsych.co1.qualtrics.com/ControlPanel/Graphic.php?IM=IM_9FZupvEifhoxyJv,B
glasses_picture,https://keelepsych.co1.qualtrics.com/ControlPanel/Graphic.php?IM=IM_6sBeFEYFoOwp1BP,B
goat_picture,https://keelepsych.co1.qualtrics.com/ControlPanel/Graphic.php?IM=IM_aW9RNvIni7l4GUt,B
hammer_picture,https://keelepsych.co1.qualtrics.com/ControlPanel/Graphic.php?IM=IM_7X4G1NlKNCjPSQt,B
heart_picture,https://keelepsych.co1.qualtrics.com/ControlPanel/Graphic.php?IM=IM_egjB41sMxKnIJdX,B
iron_picture,https://keelepsych.co1.qualtrics.com/ControlPanel/Graphic.php?IM=IM_9sibFpFHUepnraR,B
lock_picture,https://keelepsych.co1.qualtrics.com/ControlPanel/Graphic.php?IM=IM_dihYERyDTWfuqOx,B
moon_picture,https://keelepsych.co1.qualtrics.com/ControlPanel/Graphic.php?IM=IM_ePcgalFyqvXoZO5,B
nose_picture,https://keelepsych.co1.qualtrics.com/ControlPanel/Graphic.php?IM=IM_8AhqIeP1C7ikZNP,B
pencil_picture,https://keelepsych.co1.qualtrics.com/ControlPanel/Graphic.php?IM=IM_3IDmpN1FZDQqhcF,B
penguin_picture,https://keelepsych.co1.qualtrics.com/ControlPanel/Graphic.php?IM=IM_3WRNXeyBSwuXvh3,B
piano_picture,https://keelepsych.co1.qualtrics.com/ControlPanel/Graphic.php?IM=IM_6QnjC0CHjV1kmvX,B
pipe_picture,https://keelepsych.co1.qualtrics.com/ControlPanel/Graphic.php?IM=IM_0GGIku9n5dOcfHv,B
ring_picture,https://keelepsych.co1.qualtrics.com/ControlPanel/Graphic.php?IM=IM_2ixgAGSbhCB8Obz,B
spider_picture,https://keelepsych.co1.qualtrics.com/ControlPanel/Graphic.php?IM=IM_8B51Az3YnQIlAfr,B
star_picture,https://keelepsych.co1.qualtrics.com/ControlPanel/Graphic.php?IM=IM_5AN7jE4GFMFBOC1,B
train_picture,https://keelepsych.co1.qualtrics.com/ControlPanel/Graphic.php?IM=IM_0ceBtaQQoGWvyYJ,B
watch_picture,https://keelepsych.co1.qualtrics.com/ControlPanel/Graphic.php?IM=IM_71x1AHd6ay19FJj,B
window_picture,https://keelepsych.co1.qualtrics.com/ControlPanel/Graphic.php?IM=IM_2aBz1YSkSdc0SOh,B
arrow_picture,https://keelepsych.co1.qualtrics.com/ControlPanel/Graphic.php?IM=IM_3xbp6Z1lfeWfjff,C
balloon_picture,https://keelepsych.co1.qualtrics.com/ControlPanel/Graphic.php?IM=IM_5uRzvOfG6hpNfVP,C
basket_picture,https://keelepsych.co1.qualtrics.com/ControlPanel/Graphic.php?IM=IM_9KVMpkxWpVOGZ37,C
beetle_picture,https://keelepsych.co1.qualtrics.com/ControlPanel/Graphic.php?IM=IM_0eqBTdIRIW6P2HH,C
bowl_picture,https://keelepsych.co1.qualtrics.com/ControlPanel/Graphic.php?IM=IM_a9jy7KRql5fn4UJ,C
camel_picture,https://keelepsych.co1.qualtrics.com/ControlPanel/Graphic.php?IM=IM_3eMmsdjlFvRlasJ,C
chicken_picture,https://keelepsych.co1.qualtrics.com/ControlPanel/Graphic.php?IM=IM_8qussmfLsfD9KcZ,C
clown_picture,https://keelepsych.co1.qualtrics.com/ControlPanel/Graphic.php?IM=IM_dnWqR5OPo5QrIfb,C
comb_picture,https://keelepsych.co1.qualtrics.com/ControlPanel/Graphic.php?IM=IM_e9gJMcEHjxwUYdL,C
corn_picture,https://keelepsych.co1.qualtrics.com/ControlPanel/Graphic.php?IM=IM_7UHYZlHZofpZAnX,C
doll_picture,https://keelepsych.co1.qualtrics.com/ControlPanel/Graphic.php?IM=IM_bISEsUDdzG8G5dX,C
dress_picture,https://keelepsych.co1.qualtrics.com/ControlPanel/Graphic.php?IM=IM_4T4HKXyQmfO5kvX,C
fence_picture,https://keelepsych.co1.qualtrics.com/ControlPanel/Graphic.php?IM=IM_0PQywJIE7cd7cvr,C
guitar_picture,https://keelepsych.co1.qualtrics.com/ControlPanel/Graphic.php?IM=IM_4T376ACoynSg4kZ,C
jacket_picture,https://keelepsych.co1.qualtrics.com/ControlPanel/Graphic.php?IM=IM_0lyvW9MWysove7P,C
kettle_picture,https://keelepsych.co1.qualtrics.com/ControlPanel/Graphic.php?IM=IM_6sY70rwdyEIMwst,C
knife_picture,https://keelepsych.co1.qualtrics.com/ControlPanel/Graphic.php?IM=IM_cuUpyxhwspPXPzD,C
lion_picture,https://keelepsych.co1.qualtrics.com/ControlPanel/Graphic.php?IM=IM_bflMB6MddwLLAfX,C
lobster_picture,https://keelepsych.co1.qualtrics.com/ControlPanel/Graphic.php?IM=IM_9NAxRUL3blz86VL,C
mitten_picture,https://keelepsych.co1.qualtrics.com/ControlPanel/Graphic.php?IM=IM_3ZZ6PAJlMZwRadv,C
needle_picture,https://keelepsych.co1.qualtrics.com/ControlPanel/Graphic.php?IM=IM_8HywDgRAu8v9mcZ,C
ostrich_picture,https://keelepsych.co1.qualtrics.com/ControlPanel/Graphic.php?IM=IM_1KNAB4INLYPD9UV,C
peach_picture,https://keelepsych.co1.qualtrics.com/ControlPanel/Graphic.php?IM=IM_b91M0dFGBkndkHz,C
potato_picture,https://keelepsych.co1.qualtrics.com/ControlPanel/Graphic.php?IM=IM_74BshtWtBkmNKo5,C
pumpkin_picture,https://keelepsych.co1.qualtrics.com/ControlPanel/Graphic.php?IM=IM_em8uHXUnXmmofu5,C
rabbit_picture,https://keelepsych.co1.qualtrics.com/ControlPanel/Graphic.php?IM=IM_2o4N2V8DDFeATsx,C
ruler_picture,https://keelepsych.co1.qualtrics.com/ControlPanel/Graphic.php?IM=IM_eXoNLvt9O38ALg9,C
screw_picture,https://keelepsych.co1.qualtrics.com/ControlPanel/Graphic.php?IM=IM_3WQuMb6JhlAjomF,C
