Event Index,UTC Timestamp,UTC Date,Local Timestamp,Local Timezone,Local Date,Experiment ID,Experiment Version,Tree Node Key,Repeat Key,Schedule ID,Participant Public ID,Participant Private ID,Participant Starting Group,Participant Status,Participant Completion Code,Participant External Session ID,Participant Device Type,Participant Device,Participant OS,Participant Browser,Participant Monitor Size,Participant Viewport Size,Checkpoint,Task Name,Task Version,checkpoint-mnac,branch-hilv,checkpoint-d6jh,randomiser-3j42,branch-ebg9,randomiser-6j1g,randomiser-rj7w,randomiser-enay,randomiser-gw7n,checkpoint-ovy2,checkpoint-kb99,checkpoint-c413,checkpoint-cxk8,checkpoint-wd42,checkpoint-xc47,checkpoint-npvz,checkpoint-r3pw,checkpoint-dqyj,checkpoint-ycsm,checkpoint-nzkt,checkpoint-zr6w,checkpoint-t2b4,randomiser-uc11,randomiser-hpp5,Spreadsheet,Spreadsheet Name,Spreadsheet Row,Trial Number,Screen Number,Screen Name,Zone Name,Zone Type,Reaction Time,Reaction Onset,Response Type,Response,Attempt,Correct,Incorrect,Dishonest,X Coordinate,Y Coordinate,Timed Out,randomise_blocks,randomise_trials,display,stim,pressed_new
52,1607031760438,03/12/2020 21:42:40,1607031760411,0,03/12/2020 21:42:40,30809,12,task-267u,,8323042,13920,2485071,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 87.0.4280.88,1280x720,853x480,Test finished,Purple Test,2,Consent Given,Consented,Test finished,purple_group,Purple,,,,purple_B,,,,,,,,Purple B: study finished,Distractor finished,,,,,,,Purple-Test-Spreadsheet,Purple-Test-Spreadsheet,16,11,2,RFG,Zone1,response_button_image,625.7949999999255,,,familiarity.png,1,0,1,0,,,,,2,purple_test,bear--distinctive-word.png,new.png
53,1607031761125,03/12/2020 21:42:41,1607031761103,0,03/12/2020 21:42:41,30809,12,task-267u,,8323042,13920,2485071,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 87.0.4280.88,1280x720,853x480,Test finished,Purple Test,2,Consent Given,Consented,Test finished,purple_group,Purple,,,,purple_B,,,,,,,,Purple B: study finished,Distractor finished,,,,,,,Purple-Test-Spreadsheet,Purple-Test-Spreadsheet,16,11,3,Fixation,fixation,fixation,499.8139999999985,,,,,0,1,0,,,,,2,purple_test,bear--distinctive-word.png,new.png
54,1607031762422,03/12/2020 21:42:42,1607031762396,0,03/12/2020 21:42:42,30809,12,task-267u,,8323042,13920,2485071,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 87.0.4280.88,1280x720,853x480,Test finished,Purple Test,2,Consent Given,Consented,Test finished,purple_group,Purple,,,,purple_B,,,,,,,,Purple B: study finished,Distractor finished,,,,,,,Purple-Test-Spreadsheet,Purple-Test-Spreadsheet,11,12,1,OldNew,new,response_button_image,1275.6349999690428,,,new.png,1,1,0,0,,,,,2,purple_test,anchor--grey-word.png,new.png
55,1607031763130,03/12/2020 21:42:43,1607031763103,0,03/12/2020 21:42:43,30809,12,task-267u,,8323042,13920,2485071,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 87.0.4280.88,1280x720,853x480,Test finished,Purple Test,2,Consent Given,Consented,Test finished,purple_group,Purple,,,,purple_B,,,,,,,,Purple B: study finished,Distractor finished,,,,,,,Purple-Test-Spreadsheet,Purple-Test-Spreadsheet,11,12,3,Fixation,fixation,fixation,499.76200000000244,,,,,0,1,0,,,,,2,purple_test,anchor--grey-word.png,new.png
56,1607031765016,03/12/2020 21:42:45,1607031764993,0,03/12/2020 21:42:44,30809,12,task-267u,,8323042,13920,2485071,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 87.0.4280.88,1280x720,853x480,Test finished,Purple Test,2,Consent Given,Consented,Test finished,purple_group,Purple,,,,purple_B,,,,,,,,Purple B: study finished,Distractor finished,,,,,,,Purple-Test-Spreadsheet,Purple-Test-Spreadsheet,69,13,1,OldNew,old,response_button_image,1875.7949999999255,,,old.png,1,0,1,0,,,,,2,purple_test,leaf--grey-word.png,new.png
57,1607031765798,03/12/2020 21:42:45,1607031765754,0,03/12/2020 21:42:45,30809,12,task-267u,,8323042,13920,2485071,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 87.0.4280.88,1280x720,853x480,Test finished,Purple Test,2,Consent Given,Consented,Test finished,purple_group,Purple,,,,purple_B,,,,,,,,Purple B: study finished,Distractor finished,,,,,,,Purple-Test-Spreadsheet,Purple-Test-Spreadsheet,69,13,2,RFG,new,response_button_image,533.9650000678375,,,guessing.png,1,0,1,0,,,,,2,purple_test,leaf--grey-word.png,new.png
58,1607031766475,03/12/2020 21:42:46,1607031766452,0,03/12/2020 21:42:46,30809,12,task-267u,,8323042,13920,2485071,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 87.0.4280.88,1280x720,853x480,Test finished,Purple Test,2,Consent Given,Consented,Test finished,purple_group,Purple,,,,purple_B,,,,,,,,Purple B: study finished,Distractor finished,,,,,,,Purple-Test-Spreadsheet,Purple-Test-Spreadsheet,69,13,3,Fixation,fixation,fixation,500.2830000000031,,,,,0,1,0,,,,,2,purple_test,leaf--grey-word.png,new.png
59,1607031767788,03/12/2020 21:42:47,1607031767759,0,03/12/2020 21:42:47,30809,12,task-267u,,8323042,13920,2485071,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 87.0.4280.88,1280x720,853x480,Test finished,Purple Test,2,Consent Given,Consented,Test finished,purple_group,Purple,,,,purple_B,,,,,,,,Purple B: study finished,Distractor finished,,,,,,,Purple-Test-Spreadsheet,Purple-Test-Spreadsheet,43,14,1,OldNew,new,response_button_image,1291.2400000495836,,,new.png,1,1,0,0,,,,,2,purple_test,duck--distinctive-word.png,new.png
60,1607031768573,03/12/2020 21:42:48,1607031768468,0,03/12/2020 21:42:48,30809,12,task-267u,,8323042,13920,2485071,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 87.0.4280.88,1280x720,853x480,Test finished,Purple Test,2,Consent Given,Consented,Test finished,purple_group,Purple,,,,purple_B,,,,,,,,Purple B: study finished,Distractor finished,,,,,,,Purple-Test-Spreadsheet,Purple-Test-Spreadsheet,43,14,3,Fixation,fixation,fixation,500.2720000000045,,,,,0,1,0,,,,,2,purple_test,duck--distinctive-word.png,new.png
61,1607031769652,03/12/2020 21:42:49,1607031769627,0,03/12/2020 21:42:49,30809,12,task-267u,,8323042,13920,2485071,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 87.0.4280.88,1280x720,853x480,Test finished,Purple Test,2,Consent Given,Consented,Test finished,purple_group,Purple,,,,purple_B,,,,,,,,Purple B: study finished,Distractor finished,,,,,,,Purple-Test-Spreadsheet,Purple-Test-Spreadsheet,95,15,1,OldNew,old,response_button_image,1143.5699999565259,,,old.png,1,0,1,0,,,,,2,purple_test,plug--grey-photo.png,new.png
62,1607031770355,03/12/2020 21:42:50,1607031770334,0,03/12/2020 21:42:50,30809,12,task-267u,,8323042,13920,2485071,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 87.0.4280.88,1280x720,853x480,Test finished,Purple Test,2,Consent Given,Consented,Test finished,purple_group,Purple,,,,purple_B,,,,,,,,Purple B: study finished,Distractor finished,,,,,,,Purple-Test-Spreadsheet,Purple-Test-Spreadsheet,95,15,2,RFG,old,response_button_image,486.0099999932572,,,recollection.png,1,0,1,0,,,,,2,purple_test,plug--grey-photo.png,new.png
