Event Index,UTC Timestamp,UTC Date,Local Timestamp,Local Timezone,Local Date,Experiment ID,Experiment Version,Tree Node Key,Repeat Key,Schedule ID,Participant Public ID,Participant Private ID,Participant Starting Group,Participant Status,Participant Completion Code,Participant External Session ID,Participant Device Type,Participant Device,Participant OS,Participant Browser,Participant Monitor Size,Participant Viewport Size,Checkpoint,Task Name,Task Version,checkpoint-mnac,branch-hilv,checkpoint-d6jh,randomiser-3j42,branch-ebg9,randomiser-6j1g,randomiser-rj7w,randomiser-enay,randomiser-gw7n,checkpoint-ovy2,checkpoint-kb99,checkpoint-c413,checkpoint-cxk8,checkpoint-wd42,checkpoint-xc47,checkpoint-npvz,checkpoint-r3pw,checkpoint-dqyj,checkpoint-ycsm,checkpoint-nzkt,checkpoint-zr6w,checkpoint-t2b4,randomiser-uc11,randomiser-hpp5,Spreadsheet,Spreadsheet Name,Spreadsheet Row,Trial Number,Screen Number,Screen Name,Zone Name,Zone Type,Reaction Time,Reaction Onset,Response Type,Response,Attempt,Correct,Incorrect,Dishonest,X Coordinate,Y Coordinate,Timed Out,randomise_blocks,randomise_trials,display,stim,pressed_new
45,1607069785136,04/12/2020 08:16:25,1607069785384,0,04/12/2020 08:16:25,30809,12,task-fzx3,,8327472,14579,2487099,,complete,,,computer,Desktop or Laptop,Windows 10,Edge 87.0.664.52,1440x960,1440x960,Test finished,Orange Test,2,Consent Given,Consented,Test finished,orange_group,Orange,,,,,,,,,,,,,Distractor finished,,Orange B: study finished,,,orange_B,,Orange-Test-Spreadsheet,Orange-Test-Spreadsheet,63,10,1,OldNew,old,response_button_image,1447.5100000854582,,,old.png,1,0,1,0,,,,,2,orange_test,jacket--grey-photo.png,new.png
46,1607069786857,04/12/2020 08:16:26,1607069787108,0,04/12/2020 08:16:27,30809,12,task-fzx3,,8327472,14579,2487099,,complete,,,computer,Desktop or Laptop,Windows 10,Edge 87.0.664.52,1440x960,1440x960,Test finished,Orange Test,2,Consent Given,Consented,Test finished,orange_group,Orange,,,,,,,,,,,,,Distractor finished,,Orange B: study finished,,,orange_B,,Orange-Test-Spreadsheet,Orange-Test-Spreadsheet,63,10,2,RFG,old,response_button_image,1481.330000096932,,,recollection.png,1,0,1,0,,,,,2,orange_test,jacket--grey-photo.png,new.png
47,1607069787531,04/12/2020 08:16:27,1607069787783,0,04/12/2020 08:16:27,30809,12,task-fzx3,,8327472,14579,2487099,,complete,,,computer,Desktop or Laptop,Windows 10,Edge 87.0.664.52,1440x960,1440x960,Test finished,Orange Test,2,Consent Given,Consented,Test finished,orange_group,Orange,,,,,,,,,,,,,Distractor finished,,Orange B: study finished,,,orange_B,,Orange-Test-Spreadsheet,Orange-Test-Spreadsheet,63,10,3,Fixation,fixation,fixation,500.25800000000163,,,,,0,1,0,,,,,2,orange_test,jacket--grey-photo.png,new.png
48,1607069789525,04/12/2020 08:16:29,1607069789742,0,04/12/2020 08:16:29,30809,12,task-fzx3,,8327472,14579,2487099,,complete,,,computer,Desktop or Laptop,Windows 10,Edge 87.0.664.52,1440x960,1440x960,Test finished,Orange Test,2,Consent Given,Consented,Test finished,orange_group,Orange,,,,,,,,,,,,,Distractor finished,,Orange B: study finished,,,orange_B,,Orange-Test-Spreadsheet,Orange-Test-Spreadsheet,121,11,1,OldNew,new,response_button_image,1889.0549999196082,,,new.png,1,1,0,0,,,,,2,orange_test,tomato--col-drawing.png,new.png
49,1607069790193,04/12/2020 08:16:30,1607069790435,0,04/12/2020 08:16:30,30809,12,task-fzx3,,8327472,14579,2487099,,complete,,,computer,Desktop or Laptop,Windows 10,Edge 87.0.664.52,1440x960,1440x960,Test finished,Orange Test,2,Consent Given,Consented,Test finished,orange_group,Orange,,,,,,,,,,,,,Distractor finished,,Orange B: study finished,,,orange_B,,Orange-Test-Spreadsheet,Orange-Test-Spreadsheet,121,11,3,Fixation,fixation,fixation,500.3429999999935,,,,,0,1,0,,,,,2,orange_test,tomato--col-drawing.png,new.png
50,1607069792593,04/12/2020 08:16:32,1607069792850,0,04/12/2020 08:16:32,30809,12,task-fzx3,,8327472,14579,2487099,,complete,,,computer,Desktop or Laptop,Windows 10,Edge 87.0.664.52,1440x960,1440x960,Test finished,Orange Test,2,Consent Given,Consented,Test finished,orange_group,Orange,,,,,,,,,,,,,Distractor finished,,Orange B: study finished,,,orange_B,,Orange-Test-Spreadsheet,Orange-Test-Spreadsheet,119,12,1,OldNew,old,response_button_image,2352.1750001236796,,,old.png,1,0,1,0,,,,,2,orange_test,tiger--distinctive-word.png,new.png
51,1607069793635,04/12/2020 08:16:33,1607069793888,0,04/12/2020 08:16:33,30809,12,task-fzx3,,8327472,14579,2487099,,complete,,,computer,Desktop or Laptop,Windows 10,Edge 87.0.664.52,1440x960,1440x960,Test finished,Orange Test,2,Consent Given,Consented,Test finished,orange_group,Orange,,,,,,,,,,,,,Distractor finished,,Orange B: study finished,,,orange_B,,Orange-Test-Spreadsheet,Orange-Test-Spreadsheet,119,12,2,RFG,Zone1,response_button_image,787.8600000403821,,,familiarity.png,1,0,1,0,,,,,2,orange_test,tiger--distinctive-word.png,new.png
52,1607069794323,04/12/2020 08:16:34,1607069794572,0,04/12/2020 08:16:34,30809,12,task-fzx3,,8327472,14579,2487099,,complete,,,computer,Desktop or Laptop,Windows 10,Edge 87.0.664.52,1440x960,1440x960,Test finished,Orange Test,2,Consent Given,Consented,Test finished,orange_group,Orange,,,,,,,,,,,,,Distractor finished,,Orange B: study finished,,,orange_B,,Orange-Test-Spreadsheet,Orange-Test-Spreadsheet,119,12,3,Fixation,fixation,fixation,500.375,,,,,0,1,0,,,,,2,orange_test,tiger--distinctive-word.png,new.png
53,1607069795631,04/12/2020 08:16:35,1607069795886,0,04/12/2020 08:16:35,30809,12,task-fzx3,,8327472,14579,2487099,,complete,,,computer,Desktop or Laptop,Windows 10,Edge 87.0.664.52,1440x960,1440x960,Test finished,Orange Test,2,Consent Given,Consented,Test finished,orange_group,Orange,,,,,,,,,,,,,Distractor finished,,Orange B: study finished,,,orange_B,,Orange-Test-Spreadsheet,Orange-Test-Spreadsheet,115,13,1,OldNew,old,response_button_image,1251.1449998710304,,,old.png,1,0,1,0,,,,,2,orange_test,swing--grey-photo.png,new.png
54,1607069797154,04/12/2020 08:16:37,1607069797409,0,04/12/2020 08:16:37,30809,12,task-fzx3,,8327472,14579,2487099,,complete,,,computer,Desktop or Laptop,Windows 10,Edge 87.0.664.52,1440x960,1440x960,Test finished,Orange Test,2,Consent Given,Consented,Test finished,orange_group,Orange,,,,,,,,,,,,,Distractor finished,,Orange B: study finished,,,orange_B,,Orange-Test-Spreadsheet,Orange-Test-Spreadsheet,115,13,2,RFG,old,response_button_image,1273.784999968484,,,recollection.png,1,0,1,0,,,,,2,orange_test,swing--grey-photo.png,new.png
55,1607069797842,04/12/2020 08:16:37,1607069798091,0,04/12/2020 08:16:38,30809,12,task-fzx3,,8327472,14579,2487099,,complete,,,computer,Desktop or Laptop,Windows 10,Edge 87.0.664.52,1440x960,1440x960,Test finished,Orange Test,2,Consent Given,Consented,Test finished,orange_group,Orange,,,,,,,,,,,,,Distractor finished,,Orange B: study finished,,,orange_B,,Orange-Test-Spreadsheet,Orange-Test-Spreadsheet,115,13,3,Fixation,fixation,fixation,500.3790000000008,,,,,0,1,0,,,,,2,orange_test,swing--grey-photo.png,new.png
