Event Index,UTC Timestamp,UTC Date,Local Timestamp,Local Timezone,Local Date,Experiment ID,Experiment Version,Tree Node Key,Repeat Key,Schedule ID,Participant Public ID,Participant Private ID,Participant Starting Group,Participant Status,Participant Completion Code,Participant External Session ID,Participant Device Type,Participant Device,Participant OS,Participant Browser,Participant Monitor Size,Participant Viewport Size,Checkpoint,Task Name,Task Version,randomiser-uhe4,randomiser-r7fb,checkpoint-mnac,branch-hilv,randomiser-hr2x,checkpoint-cks2,checkpoint-d6jh,randomiser-hr9o,checkpoint-jk6r,randomiser-8myq,checkpoint-lpef,checkpoint-8p6q,randomiser-fslx,randomiser-1ls2,checkpoint-j7fq,checkpoint-n8cs,randomiser-z5ou,randomiser-kdpl,Spreadsheet Name,Spreadsheet Row,Trial Number,Screen Number,Screen Name,Zone Name,Zone Type,Reaction Time,Reaction Onset,Response,Attempt,Correct,Incorrect,Dishonest,X Coordinate,Y Coordinate,Timed Out,randomise_blocks,randomise_trials,display,stim,pressed_new
57,1583967752916,11/03/2020 23:02:32,1583967751774,0,11/03/2020 23:02:31,10169,123,task-fniu,,4143321,14120,1173257,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 80.0.3987.132,1600x900,1600x900,Test_Checkpoint,J-2. RFBG_B_GREY,2,,study_5_grey,Consent Given,Consented,Experiment3__Greyscale,,Test_Checkpoint,,,,B_Checkpoint_Grey,,Grey_RFBG,,,,,,test_B_grey_spreadsheet,51,14,1,OldNew,new,response_button_image,1114.9500000756234,,new.png,1,1,0,0,,,,,2,test_B_grey,grey_line_train.png,new.png
58,1583967753603,11/03/2020 23:02:33,1583967752452,0,11/03/2020 23:02:32,10169,123,task-fniu,,4143321,14120,1173257,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 80.0.3987.132,1600x900,1600x900,Test_Checkpoint,J-2. RFBG_B_GREY,2,,study_5_grey,Consent Given,Consented,Experiment3__Greyscale,,Test_Checkpoint,,,,B_Checkpoint_Grey,,Grey_RFBG,,,,,,test_B_grey_spreadsheet,51,14,3,Fixation,fixation,fixation,499.9290000000037,,,,0,1,0,,,,,2,test_B_grey,grey_line_train.png,new.png
59,1583967755978,11/03/2020 23:02:35,1583967754834,0,11/03/2020 23:02:34,10169,123,task-fniu,,4143321,14120,1173257,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 80.0.3987.132,1600x900,1600x900,Test_Checkpoint,J-2. RFBG_B_GREY,2,,study_5_grey,Consent Given,Consented,Experiment3__Greyscale,,Test_Checkpoint,,,,B_Checkpoint_Grey,,Grey_RFBG,,,,,,test_B_grey_spreadsheet,133,15,1,OldNew,new,response_button_image,2319.8649999685585,,new.png,1,1,0,0,,,,,2,test_B_grey,word_table.png,new.png
60,1583967756668,11/03/2020 23:02:36,1583967755519,0,11/03/2020 23:02:35,10169,123,task-fniu,,4143321,14120,1173257,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 80.0.3987.132,1600x900,1600x900,Test_Checkpoint,J-2. RFBG_B_GREY,2,,study_5_grey,Consent Given,Consented,Experiment3__Greyscale,,Test_Checkpoint,,,,B_Checkpoint_Grey,,Grey_RFBG,,,,,,test_B_grey_spreadsheet,133,15,3,Fixation,fixation,fixation,499.9349999999977,,,,0,1,0,,,,,2,test_B_grey,word_table.png,new.png
61,1583967757995,11/03/2020 23:02:37,1583967756836,0,11/03/2020 23:02:36,10169,123,task-fniu,,4143321,14120,1173257,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 80.0.3987.132,1600x900,1600x900,Test_Checkpoint,J-2. RFBG_B_GREY,2,,study_5_grey,Consent Given,Consented,Experiment3__Greyscale,,Test_Checkpoint,,,,B_Checkpoint_Grey,,Grey_RFBG,,,,,,test_B_grey_spreadsheet,48,16,1,OldNew,old,response_button_image,1249.9349999707192,,old.png,1,0,1,0,,,,,2,test_B_grey,grey_line_spoon.png,new.png
62,1583967758589,11/03/2020 23:02:38,1583967757447,0,11/03/2020 23:02:37,10169,123,task-fniu,,4143321,14120,1173257,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 80.0.3987.132,1600x900,1600x900,Test_Checkpoint,J-2. RFBG_B_GREY,2,,study_5_grey,Consent Given,Consented,Experiment3__Greyscale,,Test_Checkpoint,,,,B_Checkpoint_Grey,,Grey_RFBG,,,,,,test_B_grey_spreadsheet,48,16,2,RFBG,old,response_button_image,429.4450000161305,,recollection.png,1,0,1,0,,,,,2,test_B_grey,grey_line_spoon.png,new.png
63,1583967759275,11/03/2020 23:02:39,1583967758120,0,11/03/2020 23:02:38,10169,123,task-fniu,,4143321,14120,1173257,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 80.0.3987.132,1600x900,1600x900,Test_Checkpoint,J-2. RFBG_B_GREY,2,,study_5_grey,Consent Given,Consented,Experiment3__Greyscale,,Test_Checkpoint,,,,B_Checkpoint_Grey,,Grey_RFBG,,,,,,test_B_grey_spreadsheet,48,16,3,Fixation,fixation,fixation,500.0089999999909,,,,0,1,0,,,,,2,test_B_grey,grey_line_spoon.png,new.png
64,1583967761072,11/03/2020 23:02:41,1583967759933,0,11/03/2020 23:02:39,10169,123,task-fniu,,4143321,14120,1173257,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 80.0.3987.132,1600x900,1600x900,Test_Checkpoint,J-2. RFBG_B_GREY,2,,study_5_grey,Consent Given,Consented,Experiment3__Greyscale,,Test_Checkpoint,,,,B_Checkpoint_Grey,,Grey_RFBG,,,,,,test_B_grey_spreadsheet,95,17,1,OldNew,new,response_button_image,1732.0049999980256,,new.png,1,1,0,0,,,,,2,test_B_grey,word_anchor.png,new.png
65,1583967761760,11/03/2020 23:02:41,1583967760601,0,11/03/2020 23:02:40,10169,123,task-fniu,,4143321,14120,1173257,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 80.0.3987.132,1600x900,1600x900,Test_Checkpoint,J-2. RFBG_B_GREY,2,,study_5_grey,Consent Given,Consented,Experiment3__Greyscale,,Test_Checkpoint,,,,B_Checkpoint_Grey,,Grey_RFBG,,,,,,test_B_grey_spreadsheet,95,17,3,Fixation,fixation,fixation,499.92399999999907,,,,0,1,0,,,,,2,test_B_grey,word_anchor.png,new.png
66,1583967762781,11/03/2020 23:02:42,1583967761638,0,11/03/2020 23:02:41,10169,123,task-fniu,,4143321,14120,1173257,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 80.0.3987.132,1600x900,1600x900,Test_Checkpoint,J-2. RFBG_B_GREY,2,,study_5_grey,Consent Given,Consented,Experiment3__Greyscale,,Test_Checkpoint,,,,B_Checkpoint_Grey,,Grey_RFBG,,,,,,test_B_grey_spreadsheet,80,18,1,OldNew,new,response_button_image,967.1999999554828,,new.png,1,1,0,0,,,,,2,test_B_grey,grey_photo_mouse2.png,new.png
