Trial,Subject,Phase,Stimulus,Stimulus Type,Probe,Probe Type,Response,Accuracy,RT
48,PSE-130,Test,none,Colour_Word,purse,Old,yes,1,2201
49,PSE-130,Test,none,Colour_Word,heart,Old,yes,1,1487
52,PSE-130,Test,none,Colour_Word,refrigerator,Old,yes,1,1918
72,PSE-130,Test,none,Colour_Word,carrot,Old,yes,1,1644
77,PSE-130,Test,none,Colour_Word,cherry,Old,yes,1,1426
83,PSE-130,Test,none,Colour_Word,basket,Old,yes,1,1873
87,PSE-130,Test,none,Colour_Word,stool,Old,yes,1,1396
106,PSE-130,Test,none,Colour_Word,bat,Old,yes,1,1944
109,PSE-130,Test,none,Colour_Word,horse,Old,yes,1,1519
3,PSE-131,Study,banana,BW_Picture,none,none,none,-1,-1
9,PSE-131,Study,pepper,BW_Picture,none,none,none,-1,-1
13,PSE-131,Study,racoon,BW_Picture,none,none,none,-1,-1
20,PSE-131,Study,toothbrush,BW_Picture,none,none,none,-1,-1
22,PSE-131,Study,harp,BW_Picture,none,none,none,-1,-1
27,PSE-131,Study,butterfly,BW_Picture,none,none,none,-1,-1
30,PSE-131,Study,pig,BW_Picture,none,none,none,-1,-1
31,PSE-131,Study,artichoke,BW_Picture,none,none,none,-1,-1
33,PSE-131,Study,lightbulb,BW_Picture,none,none,none,-1,-1
36,PSE-131,Study,clock,BW_Picture,none,none,none,-1,-1
6,PSE-131,Study,doll,BW_Word,none,none,none,-1,-1
7,PSE-131,Study,rooster,BW_Word,none,none,none,-1,-1
8,PSE-131,Study,dress,BW_Word,none,none,none,-1,-1
14,PSE-131,Study,snail,BW_Word,none,none,none,-1,-1
18,PSE-131,Study,barn,BW_Word,none,none,none,-1,-1
34,PSE-131,Study,glove,BW_Word,none,none,none,-1,-1
35,PSE-131,Study,pear,BW_Word,none,none,none,-1,-1
37,PSE-131,Study,dresser,BW_Word,none,none,none,-1,-1
38,PSE-131,Study,monkey,BW_Word,none,none,none,-1,-1
39,PSE-131,Study,window,BW_Word,none,none,none,-1,-1
1,PSE-131,Study,violin,Colour_Picture,none,none,none,-1,-1
2,PSE-131,Study,owl,Colour_Picture,none,none,none,-1,-1
4,PSE-131,Study,car,Colour_Picture,none,none,none,-1,-1
5,PSE-131,Study,star,Colour_Picture,none,none,none,-1,-1
12,PSE-131,Study,screwdriver,Colour_Picture,none,none,none,-1,-1
15,PSE-131,Study,sandwich,Colour_Picture,none,none,none,-1,-1
17,PSE-131,Study,thimble,Colour_Picture,none,none,none,-1,-1
21,PSE-131,Study,rabbit,Colour_Picture,none,none,none,-1,-1
28,PSE-131,Study,pumpkin,Colour_Picture,none,none,none,-1,-1
29,PSE-131,Study,penguin,Colour_Picture,none,none,none,-1,-1
10,PSE-131,Study,flag,Colour_Word,none,none,none,-1,-1
11,PSE-131,Study,nose,Colour_Word,none,none,none,-1,-1
16,PSE-131,Study,duck,Colour_Word,none,none,none,-1,-1
19,PSE-131,Study,motorcycle,Colour_Word,none,none,none,-1,-1
23,PSE-131,Study,refrigerator,Colour_Word,none,none,none,-1,-1
24,PSE-131,Study,coat,Colour_Word,none,none,none,-1,-1
25,PSE-131,Study,paintbrush,Colour_Word,none,none,none,-1,-1
26,PSE-131,Study,pen,Colour_Word,none,none,none,-1,-1
32,PSE-131,Study,stool,Colour_Word,none,none,none,-1,-1
40,PSE-131,Study,peanut,Colour_Word,none,none,none,-1,-1
41,PSE-131,Test,none,BW_Picture,bird,New,no,1,2262
45,PSE-131,Test,none,BW_Picture,glass,New,no,1,1320
47,PSE-131,Test,none,BW_Picture,bat,New,no,1,1183
52,PSE-131,Test,none,BW_Picture,door,New,no,1,5484
66,PSE-131,Test,none,BW_Picture,salt,New,no,1,2997
67,PSE-131,Test,none,BW_Picture,potato,New,no,1,1647
71,PSE-131,Test,none,BW_Picture,button,New,no,1,1877
84,PSE-131,Test,none,BW_Picture,bear,New,yes,0,2610
87,PSE-131,Test,none,BW_Picture,stove,New,no,1,4016
117,PSE-131,Test,none,BW_Picture,suitcase,New,no,1,1576
49,PSE-131,Test,none,BW_Picture,racoon,Old,yes,1,1087
54,PSE-131,Test,none,BW_Picture,pepper,Old,yes,1,980
55,PSE-131,Test,none,BW_Picture,banana,Old,yes,1,958
58,PSE-131,Test,none,BW_Picture,harp,Old,yes,1,1057
77,PSE-131,Test,none,BW_Picture,toothbrush,Old,yes,1,1211
78,PSE-131,Test,none,BW_Picture,artichoke,Old,yes,1,929
89,PSE-131,Test,none,BW_Picture,butterfly,Old,yes,1,1428
94,PSE-131,Test,none,BW_Picture,lightbulb,Old,yes,1,1025
95,PSE-131,Test,none,BW_Picture,clock,Old,yes,1,1344
108,PSE-131,Test,none,BW_Picture,pig,Old,yes,1,844
70,PSE-131,Test,none,BW_Word,well,New,yes,0,3624
73,PSE-131,Test,none,BW_Word,sock,New,no,1,2130
74,PSE-131,Test,none,BW_Word,leopard,New,no,1,1691
79,PSE-131,Test,none,BW_Word,saw,New,no,1,2703
91,PSE-131,Test,none,BW_Word,goat,New,yes,0,1522
97,PSE-131,Test,none,BW_Word,book,New,yes,0,1746
98,PSE-131,Test,none,BW_Word,drum,New,yes,0,1618
105,PSE-131,Test,none,BW_Word,knife,New,no,1,3929
110,PSE-131,Test,none,BW_Word,tortoise,New,no,1,1458
111,PSE-131,Test,none,BW_Word,lamp,New,yes,0,1002
51,PSE-131,Test,none,BW_Word,pear,Old,yes,1,1241
53,PSE-131,Test,none,BW_Word,glove,Old,yes,1,1228
59,PSE-131,Test,none,BW_Word,barn,Old,yes,1,1165
82,PSE-131,Test,none,BW_Word,rooster,Old,yes,1,2609
83,PSE-131,Test,none,BW_Word,doll,Old,yes,1,1469
86,PSE-131,Test,none,BW_Word,window,Old,yes,1,1159
93,PSE-131,Test,none,BW_Word,dress,Old,yes,1,1066
102,PSE-131,Test,none,BW_Word,snail,Old,no,0,1437
103,PSE-131,Test,none,BW_Word,monkey,Old,no,0,2340
118,PSE-131,Test,none,BW_Word,dresser,Old,yes,1,1042
46,PSE-131,Test,none,Colour_Picture,kangaroo,New,no,1,1236
56,PSE-131,Test,none,Colour_Picture,bread,New,no,1,2586
61,PSE-131,Test,none,Colour_Picture,caterpillar,New,no,1,2171
64,PSE-131,Test,none,Colour_Picture,couch,New,no,1,2439
90,PSE-131,Test,none,Colour_Picture,watermelon,New,no,1,2981
92,PSE-131,Test,none,Colour_Picture,boot,New,no,1,2371
109,PSE-131,Test,none,Colour_Picture,flower,New,no,1,2269
112,PSE-131,Test,none,Colour_Picture,snake,New,no,1,1340
113,PSE-131,Test,none,Colour_Picture,mitten,New,no,1,2082
115,PSE-131,Test,none,Colour_Picture,church,New,no,1,1172
50,PSE-131,Test,none,Colour_Picture,violin,Old,yes,1,1020
60,PSE-131,Test,none,Colour_Picture,owl,Old,yes,1,925
75,PSE-131,Test,none,Colour_Picture,star,Old,yes,1,1453
80,PSE-131,Test,none,Colour_Picture,car,Old,yes,1,943
88,PSE-131,Test,none,Colour_Picture,screwdriver,Old,yes,1,858
96,PSE-131,Test,none,Colour_Picture,thimble,Old,yes,1,1056
99,PSE-131,Test,none,Colour_Picture,penguin,Old,yes,1,1165
100,PSE-131,Test,none,Colour_Picture,rabbit,Old,yes,1,965
104,PSE-131,Test,none,Colour_Picture,sandwich,Old,yes,1,850
107,PSE-131,Test,none,Colour_Picture,pumpkin,Old,yes,1,948
43,PSE-131,Test,none,Colour_Word,fox,New,no,1,2565
44,PSE-131,Test,none,Colour_Word,deer,New,no,1,2171
57,PSE-131,Test,none,Colour_Word,bow,New,no,1,1536
68,PSE-131,Test,none,Colour_Word,lettuce,New,no,1,1852
72,PSE-131,Test,none,Colour_Word,iron,New,no,1,1983
85,PSE-131,Test,none,Colour_Word,house,New,no,1,3342
101,PSE-131,Test,none,Colour_Word,lips,New,no,1,3063
114,PSE-131,Test,none,Colour_Word,ball,New,no,1,1499
